Segmented Image,Identified Class
segmented_object_1.png,pole
segmented_object_10.png,spotlight
segmented_object_11.png,perfume
segmented_object_12.png,lighter
segmented_object_13.png,spotlight
segmented_object_14.png,corkscrew
segmented_object_15.png,spotlight
segmented_object_16.png,spotlight
segmented_object_17.png,spotlight
segmented_object_18.png,spotlight
segmented_object_19.png,wine bottle
segmented_object_2.png,spotlight
segmented_object_20.png,spotlight
segmented_object_21.png,spotlight
segmented_object_22.png,spotlight
segmented_object_23.png,spotlight
segmented_object_24.png,spotlight
segmented_object_25.png,syringe
segmented_object_26.png,spotlight
segmented_object_27.png,spotlight
segmented_object_28.png,spotlight
segmented_object_29.png,spotlight
segmented_object_3.png,lighter
segmented_object_30.png,spotlight
segmented_object_31.png,spotlight
segmented_object_32.png,spotlight
segmented_object_33.png,spotlight
segmented_object_34.png,front curtain
segmented_object_35.png,monitor
segmented_object_36.png,spotlight
segmented_object_37.png,website
segmented_object_4.png,spotlight
segmented_object_5.png,pill bottle
segmented_object_6.png,jeep
segmented_object_7.png,traffic light
segmented_object_8.png,traffic light
segmented_object_9.png,spotlight
